transit_timestamp,bus_route,ridership,transfers
11/26/2020 01:00:00 AM,BX12+,0,0
03/03/2022 06:00:00 PM,BX12+,849,166
05/14/2021 04:00:00 PM,BX12+,1281,257
12/12/2022 02:00:00 PM,BX12+,1038,201
12/16/2022 05:00:00 AM,BX12+,137,14
12/11/2024 04:00:00 AM,BX12+,0,0
10/26/2022 02:00:00 PM,BX12+,1093,211
09/18/2021 09:00:00 AM,BX12+,761,129
11/09/2021 01:00:00 AM,BX12+,0,0
08/07/2021 06:00:00 PM,BX12+,758,91
10/14/2024 12:00:00 PM,BX12+,620,149
11/20/2023 05:00:00 PM,BX12+,835,157
04/16/2023 07:00:00 AM,BX12+,385,56
01/14/2023 03:00:00 AM,BX12+,0,0
05/26/2022 05:00:00 AM,BX12+,169,17
06/07/2021 04:00:00 PM,BX12+,1153,189
02/23/2022 10:00:00 PM,BX12+,106,16
01/21/2023 12:00:00 PM,BX12+,693,125
11/21/2023 11:00:00 PM,BX12+,15,3
07/27/2022 11:00:00 PM,BX12+,29,5
06/10/2022 12:00:00 PM,BX12+,911,189
06/09/2022 05:00:00 AM,BX12+,133,19
09/10/2024 03:00:00 AM,BX12+,0,0
09/23/2020 12:00:00 AM,BX12+,1,0
04/17/2021 07:00:00 PM,BX12+,627,89
12/20/2020 04:00:00 PM,BX12+,710,111
10/29/2021 08:00:00 PM,BX12+,383,55
07/18/2024 08:00:00 PM,BX12+,247,26
05/19/2022 07:00:00 PM,BX12+,713,123
10/04/2021 03:00:00 AM,BX12+,0,0
09/03/2022 03:00:00 AM,BX12+,0,0
07/22/2022 11:00:00 AM,BX12+,775,195
12/09/2020 07:00:00 PM,BX12+,531,98
07/03/2022 12:00:00 PM,BX12+,625,140
10/09/2022 08:00:00 PM,BX12+,249,43
09/22/2021 06:00:00 PM,BX12+,993,185
01/10/2023 06:00:00 PM,BX12+,751,160
11/30/2022 09:00:00 PM,BX12+,172,30
07/21/2023 09:00:00 AM,BX12+,746,157
12/18/2024 06:00:00 AM,BX12+,647,106
09/27/2021 06:00:00 AM,BX12+,1185,175
12/03/2023 10:00:00 AM,BX12+,310,48
01/21/2022 08:00:00 PM,BX12+,341,66
11/17/2022 03:00:00 AM,BX12+,0,0
10/15/2024 06:00:00 AM,BX12+,732,123
08/12/2021 06:00:00 PM,BX12+,938,169
03/19/2024 06:00:00 PM,BX12+,557,107
04/21/2022 05:00:00 AM,BX12+,142,21
05/23/2024 10:00:00 AM,BX12+,396,92
10/21/2020 08:00:00 PM,BX12+,440,66
08/15/2024 08:00:00 PM,BX12+,212,31
