transit_timestamp,bus_route,ridership,transfers
07/02/2025 04:00:00 AM,BX12+,0,0
01/13/2025 08:00:00 AM,BX12+,1078,231
07/24/2025 06:00:00 AM,BX12+,1815,334
08/27/2025 03:00:00 AM,BX12+,0,0
05/20/2025 07:00:00 PM,BX12+,1042,220
04/12/2025 01:00:00 PM,BX12+,635,122
03/19/2025 12:00:00 AM,BX12+,8,5
06/16/2025 09:00:00 AM,BX12+,1881,454
07/28/2025 01:00:00 PM,BX12+,1706,439
07/02/2025 08:00:00 AM,BX12+,2781,650
05/20/2025 11:00:00 PM,BX12+,26,7
05/24/2025 03:00:00 AM,BX12+,0,0
06/13/2025 05:00:00 AM,BX12+,318,40
02/15/2025 06:00:00 AM,BX12+,151,23
03/20/2025 03:00:00 AM,BX12+,0,0
08/24/2025 05:00:00 AM,BX12+,10,0
05/14/2025 03:00:00 AM,BX12+,0,0
02/13/2025 10:00:00 PM,BX12+,96,16
07/20/2025 04:00:00 AM,BX12+,2,0
01/23/2025 11:00:00 AM,BX12+,554,141
03/22/2025 05:00:00 AM,BX12+,6,0
06/29/2025 12:00:00 AM,BX12+,25,10
08/15/2025 02:00:00 AM,BX12+,6,0
05/08/2025 01:00:00 PM,BX12+,1830,318
07/09/2025 11:00:00 AM,BX12+,1497,402
05/22/2025 04:00:00 AM,BX12+,0,0
06/27/2025 03:00:00 PM,BX12+,2087,462
08/15/2025 03:00:00 AM,BX12+,0,0
04/24/2025 11:00:00 PM,BX12+,14,1
07/31/2025 08:00:00 PM,BX12+,534,130
02/19/2025 05:00:00 PM,BX12+,829,188
03/21/2025 09:00:00 PM,BX12+,151,34
05/28/2025 10:00:00 PM,BX12+,106,30
04/22/2025 01:00:00 AM,BX12+,0,0
04/10/2025 06:00:00 PM,BX12+,595,150
01/08/2025 12:00:00 AM,BX12+,0,0
01/24/2025 10:00:00 PM,BX12+,64,13
01/09/2025 10:00:00 PM,BX12+,53,20
01/28/2025 06:00:00 AM,BX12+,0,0
08/07/2025 11:00:00 PM,BX12+,13,2
02/09/2025 06:00:00 AM,BX12+,0,0
04/18/2025 12:00:00 AM,BX12+,7,3
01/16/2025 06:00:00 AM,BX12+,642,119
06/12/2025 06:00:00 AM,BX12+,2158,364
05/05/2025 04:00:00 AM,BX12+,2,0
07/18/2025 08:00:00 PM,BX12+,718,114
01/27/2025 11:00:00 PM,BX12+,0,0
07/08/2025 08:00:00 PM,BX12+,483,108
07/02/2025 09:00:00 PM,BX12+,434,110
04/28/2025 09:00:00 PM,BX12+,181,36
01/30/2025 02:00:00 AM,BX12+,0,0
06/23/2025 04:00:00 PM,BX12+,1979,374
