Year,Month,Timestamp,Day of Week,Hour of Day,Route ID,Direction,Borough,Route Type,Stop Order,Timepoint Stop ID,Timepoint Stop Name,Timepoint Stop Latitude,Timepoint Stop Longitude,Next Timepoint Stop ID,Next Timepoint Stop Name,Next Timepoint Stop Latitude,Next Timepoint Stop Longitude,Road Distance,Average Travel Time,Average Road Speed,Bus Trip Count,Timepoint Stop Georeference,Next Timepoint Stop Georeference
2023,5,05/01/2023 12:00:00 PM,Thursday,12,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.144576,7.05988789654672,43,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 05:00:00 PM,Thursday,17,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.296568,6.889467791275639,34,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 06:00:00 PM,Thursday,18,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.171876,7.028659651374106,32,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 05:00:00 AM,Thursday,5,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.393934,8.042366779655532,11,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 02:00:00 PM,Thursday,14,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,7.257456,5.977300876840492,38,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 09:00:00 PM,Thursday,21,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.97549,7.259657837459504,17,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 06:00:00 AM,Thursday,6,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.18889,8.360169516023658,24,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 04:00:00 PM,Thursday,16,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.400794,6.777285403259195,42,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 03:00:00 PM,Thursday,15,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.762696,6.414599074883252,42,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 10:00:00 PM,Thursday,22,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,4.97085,8.726877696973354,4,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 10:00:00 AM,Wednesday,10,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.874606,7.384327163191296,42,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 06:00:00 AM,Wednesday,6,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.121152,7.086899151743638,26,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 05:00:00 AM,Wednesday,5,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.251116,8.261101068801375,15,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 07:00:00 AM,Wednesday,7,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.025602,7.199279942125218,69,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 01:00:00 PM,Wednesday,13,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.503418,6.67033810857343,39,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 08:00:00 AM,Wednesday,8,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.05862,7.160045124641711,58,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
